Gejala,Kategori
Berkeringat,Gangguan Kecemasan
Berdebar,Gangguan Kecemasan
Tersedak,Gangguan Kecemasan
Nyeri dada,Gangguan Kecemasan
Serangan jantung,Gangguan Kecemasan
Ketakutan,Gangguan Kecemasan
Gemetar,Gangguan Kecemasan
Lesu,Gangguan Kecemasan
Sesak dada,Gangguan Kecemasan
Cemas,Gangguan Kecemasan
Sesak nafas,Gangguan Kecemasan
Tidak berdaya,Gangguan Kecemasan
Menghindari bertatapan mata,Gangguan Kecemasan
Takut dikritik,Gangguan Kecemasan
Takut untuk berpergian,Gangguan Kecemasan
Otot tegang,Gangguan Kecemasan
Keringat dingin,Gangguan Kecemasan
Merasa gelisah,Gangguan Kecemasan
Tidak bersemangat,Gangguan Kecemasan
Selalu merasa tersudut,Gangguan Kecemasan
Mudah tersinggung,Gangguan Kecemasan
Selalu khawatir,Gangguan Kecemasan
Mudah lelah,Gangguan Kecemasan
Putus asa,Depresi
Emosi tidak stabil,Depresi
Pusing,Depresi
Menurun selera makan,Depresi
Kehilangan energi,Depresi
Menurunnya kemampuan berkosentrasi,Depresi
sulit membuat keputusan,Depresi
Rasa tidak tenang,Depresi
Perasaan tidak berguna,Depresi
Ingin bunuh diri,Depresi
Pikiran menyakiti diri sendiri,Depresi
Tidur berlebihan,Depresi
Kurang tidur,Depresi
Selalu merasa bersalah,Depresi
Menyalahkan diri sendiri,Depresi
Suasana hati yang buruk,Depresi
Mudah marah,Depresi
Sensitif,Depresi
Mudah menangis,Depresi
Sulit berkonsentrasi,Depresi
Apatis,Depresi
Tidak memiliki motivasi,Depresi
gerak tubuh lambat,Depresi
Mudah terganggu,Bipolar
Berbicara sangat cepat,Bipolar
Keinginan tidur menurun,Bipolar
Percaya diri berlebihan,Bipolar
Sangat gelisah,Bipolar
Mudah marah,Skizofrenia
Suka berhalusinasi,Skizofrenia
Enggan bersosialisasi,Skizofrenia
Sulit untuk merasa senang atau puas,Skizofrenia
Sulit berkonsentrasi,Skizofrenia
Kesulitan dalam mengerjakan tugas,Skizofrenia
Paranoid,Skizofrenia
Kacau dalam bicara,Skizofrenia
Tiba-tiba marah,Skizofrenia
Ekspresi wajah monoton,Skizofrenia
Pola tidur berubah,Skizofrenia
Tidak peduli penampilan,Skizofrenia
Tidak peduli kebersihan diri,Skizofrenia
Berdiam dirumah,Skizofrenia
Bicara tidak masuk akal,Skizofrenia
Delusi,Skizofrenia
Tidak ingin memulai percakapan,Skizofrenia
Kehilangan motivasi,Skizofrenia
damai,Sehat
nyaman,Sehat
sehat,Sehat
tentram,Sehat
bahagia,Sehat
senang,Sehat
senyum,Sehat
tertawa,Sehat
suka,Sehat
Semangat,Sehat
aku lagi suka halusinasi,Skizofrenia
pola tidurku beberapa hari ini berubah,Skizofrenia
kamu jangan suka marah tiba tiba dong,Skizofrenia
akhir akhir ini lagi ngrasa nyeri dada,Gangguan Kecemasan
aku kalo lagi panik biasanya keluar keringat dingin,Gangguan Kecemasan
aku lagi ga bersemangat main nih,Gangguan Kecemasan
aku ga bisa buat keputusan sendiri,Depresi
waktu olahraga aku kehilangan banyak energi,Depresi
kepala rasanya pusing berkunang kunang,Depresi
anda jika berbicara terlalu cepat,Bipolar
aku lebih suka begadang daripada tidur,Bipolar
ih jangan ganggu aku dulu,Bipolar